Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-04-30,Non Indian movies I have watched!,,https://boxd.it/vamfs,

Position,Name,Year,URL,Description
1,Monkey Man,2024,https://boxd.it/kvsO,
2,Road House,2024,https://boxd.it/cdzQ,
3,Dune: Part Two,2024,https://boxd.it/pUfA,
4,Lisa Frankenstein,2024,https://boxd.it/ByjY,
5,Love Lies Bleeding,2024,https://boxd.it/zN4q,
6,Wonka,2023,https://boxd.it/tCQm,
7,Leave the World Behind,2023,https://boxd.it/re0i,
8,Poison,2023,https://boxd.it/Is7Q,
9,Society of the Snow,2023,https://boxd.it/y9aw,
10,Dumb Money,2023,https://boxd.it/tNdU,
11,The Nun II,2023,https://boxd.it/AyRY,
12,The Killer,2023,https://boxd.it/u6WE,
13,Poor Things,2023,https://boxd.it/tNWU,
14,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
15,Saltburn,2023,https://boxd.it/z4eg,
16,The Holdovers,2023,https://boxd.it/vHza,
17,Oppenheimer,2023,https://boxd.it/wUow,
18,Barbie,2023,https://boxd.it/bCLK,
19,No Hard Feelings,2023,https://boxd.it/xouu,
20,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
21,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
22,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
23,Air,2023,https://boxd.it/Arlc,
24,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,
25,Late Night with the Devil,2023,https://boxd.it/zo6G,
26,John Wick: Chapter 4,2023,https://boxd.it/mh48,
27,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,
28,Past Lives,2023,https://boxd.it/oNB8,
29,Babylon,2022,https://boxd.it/mM02,
30,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
31,Stalled,2022,https://boxd.it/D3na,
32,KM 9,2022,https://boxd.it/HejG,
33,The Menu,2022,https://boxd.it/lScm,
34,Glass Onion,2022,https://boxd.it/oCkK,
35,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
36,The Whale,2022,https://boxd.it/tw4c,
37,Fall,2022,https://boxd.it/Bf6G,
38,Bullet Train,2022,https://boxd.it/qW26,
39,The Gray Man,2022,https://boxd.it/rb7q,
40,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
41,Ms. Marvel,2022,https://boxd.it/ANCY,
42,Aftersun,2022,https://boxd.it/Arw0,
43,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
44,Under the Banner of Heaven,2022,https://boxd.it/zMlA,
45,Moon Knight,2022,https://boxd.it/zeDq,
46,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,
47,Ambulance,2022,https://boxd.it/sFxg,
48,X,2022,https://boxd.it/sxVa,
49,The Adam Project,2022,https://boxd.it/q2Dg,
50,The Batman,2022,https://boxd.it/eDGs,
51,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
52,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk,
53,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
54,Don't Look Up,2021,https://boxd.it/o0Hc,
55,Hawkeye,2021,https://boxd.it/xQqK,
56,Eternals,2021,https://boxd.it/j36o,
57,Squid Game,2021,https://boxd.it/x1OG,
58,Venom: Let There Be Carnage,2021,https://boxd.it/llco,
59,The Guilty,2021,https://boxd.it/kOPW,
60,Dune,2021,https://boxd.it/fA7G,
61,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
62,Free Guy,2021,https://boxd.it/k8dm,
63,The Tomorrow War,2021,https://boxd.it/lE78,
64,The Worst Person in the World,2021,https://boxd.it/oyws,
65,Black Widow,2021,https://boxd.it/hWV8,
66,Loki,2021,https://boxd.it/sbHg,
67,Friends: The Reunion,2021,https://boxd.it/pOQq,
68,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,
69,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
70,Nobody,2021,https://boxd.it/mLqS,
71,WandaVision,2021,https://boxd.it/sbGW,
72,Shiva Baby,2020,https://boxd.it/oIv0,
