Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-20,Best Movies On Business ,,https://boxd.it/qZ43g,

Position,Name,Year,URL,Description
1,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
2,Wall Street,1987,https://boxd.it/1VFG,
3,The Big Short,2015,https://boxd.it/ajZw,
4,The Founder,2016,https://boxd.it/9XwM,
5,Moneyball,2011,https://boxd.it/glS,
6,The Pursuit of Happyness,2006,https://boxd.it/28PE,
7,There Will Be Blood,2007,https://boxd.it/20Z2,
8,The Social Network,2010,https://boxd.it/17ue,
9,Margin Call,2011,https://boxd.it/CJ8,
10,The Godfather,1972,https://boxd.it/2aNK,
11,Catch Me If You Can,2002,https://boxd.it/29VS,
12,Trading Places,1983,https://boxd.it/28sK,
