Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-20,Best Time Travel Movies,,https://boxd.it/qZ4BM,

Position,Name,Year,URL,Description
1,Back to the Future,1985,https://boxd.it/2b8e,
2,Groundhog Day,1993,https://boxd.it/2b3e,
3,Back to the Future Part II,1989,https://boxd.it/2aYI,
4,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,
5,Jumanji,1995,https://boxd.it/1ZLI,
6,Back to the Future Part III,1990,https://boxd.it/2aTS,
7,Hot Tub Time Machine,2010,https://boxd.it/1zIS,
8,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,
9,Idiocracy,2006,https://boxd.it/20RW,
10,13 Going on 30,2004,https://boxd.it/1X6e,
11,Men in Black 3,2012,https://boxd.it/103U,
12,Galaxy Quest,1999,https://boxd.it/29gq,
13,Predestination,2014,https://boxd.it/6bJM,
14,Primer,2004,https://boxd.it/6YA,
15,The Jacket,2005,https://boxd.it/1Y6a,
16,Twelve Monkeys,1995,https://boxd.it/2beQ,
17,Midnight in Paris,2011,https://boxd.it/i4a,
18,Frequency,2000,https://boxd.it/1VXA,
19,Triangle,2009,https://boxd.it/1tQG,
20,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
21,Donnie Darko,2001,https://boxd.it/2b2A,
22,Looper,2012,https://boxd.it/ham,
23,The Butterfly Effect,2004,https://boxd.it/27M0,
24,The Final Countdown,1980,https://boxd.it/1ZUg,
25,Tenet,2020,https://boxd.it/leq4,
26,Your Name.,2016,https://boxd.it/cUqs,
27,Interstellar,2014,https://boxd.it/4VZ8,
28,Edge of Tomorrow,2014,https://boxd.it/4pD0,
29,Time Lapse,2014,https://boxd.it/8hCQ,
30,Source Code,2011,https://boxd.it/fdo,
31,Mr. Nobody,2009,https://boxd.it/1k44,
32,Star Trek,2009,https://boxd.it/1Q6c,
33,The Time Traveler's Wife,2009,https://boxd.it/1xH4,
34,Déjà Vu,2006,https://boxd.it/20PQ,
35,Fetching Cody,2005,https://boxd.it/MtO,
36,The Lake House,2006,https://boxd.it/27yM,
