Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-04,Films with aesthetic neon,,https://boxd.it/wLFzY,

Position,Name,Year,URL,Description
1,Fallen Angels,1995,https://boxd.it/1UkW,
2,Vertigo,1958,https://boxd.it/2apI,
3,Titane,2021,https://boxd.it/nlQC,
4,TRON: Legacy,2010,https://boxd.it/1Dlo,
5,Mandy,2018,https://boxd.it/gtti,
6,Censor,2021,https://boxd.it/oHFS,
7,Suspiria,1977,https://boxd.it/1SNW,
8,Tokyo Drifter,1966,https://boxd.it/OTY,
9,Pariah,2011,https://boxd.it/2wWk,
10,Good Time,2017,https://boxd.it/fcFu,
11,The Neon Demon,2016,https://boxd.it/9AnW,
12,Byzantium,2012,https://boxd.it/3v8q,
13,Blade Runner 2049,2017,https://boxd.it/b8wK,
14,Last Night in Soho,2021,https://boxd.it/lbJC,
15,I Saw the TV Glow,2024,https://boxd.it/woVe,
16,Color Out of Space,2019,https://boxd.it/k1HY,
17,Thief,1981,https://boxd.it/1TEc,
