Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-04,Mind Fu*k movies,,https://boxd.it/AVIJS,

Position,Name,Year,URL,Description
1,Oldboy,2003,https://boxd.it/29R2,
2,Mr. Nobody,2009,https://boxd.it/1k44,
3,Tenet,2020,https://boxd.it/leq4,
4,Jacob's Ladder,1990,https://boxd.it/270g,
5,Upstream Color,2013,https://boxd.it/4Cwc,
6,Source Code,2011,https://boxd.it/fdo,
7,Primer,2004,https://boxd.it/6YA,
8,Donnie Darko,2001,https://boxd.it/2b2A,
9,Enter the Void,2009,https://boxd.it/1dy2,
10,Mulholland Drive,2001,https://boxd.it/297o,
11,The Truman Show,1998,https://boxd.it/18U8,
12,Under the Skin,2013,https://boxd.it/3mDa,
13,Vertigo,1958,https://boxd.it/2apI,
14,Predestination,2014,https://boxd.it/6bJM,
15,Trance,2013,https://boxd.it/2cAS,
16,Memento,2000,https://boxd.it/2bcK,
17,A Clockwork Orange,1971,https://boxd.it/2aVE,
18,Paprika,2006,https://boxd.it/23wW,
19,mother!,2017,https://boxd.it/dgRU,
20,Get Out,2017,https://boxd.it/eOCm,
21,Coherence,2013,https://boxd.it/6xza,
22,A Scanner Darkly,2006,https://boxd.it/25jK,
23,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
24,The Jacket,2005,https://boxd.it/1Y6a,
25,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk,
26,Pi,1998,https://boxd.it/2ajq,
27,Annihilation,2018,https://boxd.it/9yzm,
28,Solaris,2002,https://boxd.it/27qS,
29,The Game,1997,https://boxd.it/26vC,
30,Holy Motors,2012,https://boxd.it/3wai,
31,Enemy,2013,https://boxd.it/5xtO,
32,"Synecdoche, New York",2008,https://boxd.it/23zw,
33,Persona,1966,https://boxd.it/29B4,
34,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
35,Fight Club,1999,https://boxd.it/2a9q,
36,The Double,2013,https://boxd.it/4DLW,
37,Identity,2003,https://boxd.it/26e2,
38,1408,2007,https://boxd.it/25Vu,
39,The Butterfly Effect,2004,https://boxd.it/27M0,
40,Shutter Island,2010,https://boxd.it/1U82,
41,Twelve Monkeys,1995,https://boxd.it/2beQ,
42,Moon,2009,https://boxd.it/1IGQ,
43,The Fountain,2006,https://boxd.it/28RU,
44,Being John Malkovich,1999,https://boxd.it/2ahu,
45,Brazil,1985,https://boxd.it/2be2,
46,Hard Candy,2005,https://boxd.it/26vs,
47,Videodrome,1983,https://boxd.it/29uC,
48,Eraserhead,1977,https://boxd.it/299u,
49,The Holy Mountain,1973,https://boxd.it/20mu,
50,Split,2016,https://boxd.it/dgSy,
