Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-30,Movies about Cult,,https://boxd.it/BL0FG,

Position,Name,Year,URL,Description
1,Martha Marcy May Marlene,2011,https://boxd.it/CJs,
2,The East,2013,https://boxd.it/35Cu,
3,The Skulls,2000,https://boxd.it/1TKY,
4,Eyes Wide Shut,1999,https://boxd.it/2axs,
5,The Ninth Gate,1999,https://boxd.it/29YM,
6,Midsommar,2019,https://boxd.it/jhxe,
7,The Invitation,2015,https://boxd.it/9OUU,
8,Angel Heart,1987,https://boxd.it/29WG,
9,The Stepford Wives,1975,https://boxd.it/1Sfq,
10,Lord of Illusions,1995,https://boxd.it/1Ztk,
11,The Master,2012,https://boxd.it/2cBG,
