Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-24,Nani Films Ranked,,https://boxd.it/tj3dC,"I bet that no one has a filmography like Nani does in this generation. Personally, my most favorite movies of Nani are Ante... Sundaraniki and Pilla Zamindar; these movies are like stress busters for me.

Please do share your opinion on this order."

Position,Name,Year,URL,Description
1,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,
2,Jersey,2019,https://boxd.it/lQjU,
3,Pilla Zamindar,2011,https://boxd.it/32sw,
4,Hi Nanna,2023,https://boxd.it/Eqsa,
5,Saripodhaa Sanivaaram,2024,https://boxd.it/Jkwq,
6,Yeto Vellipoyindhi Manasu,2012,https://boxd.it/4IRA,
7,Bhale Bhale Magadivoy,2015,https://boxd.it/cJD6,
8,Yevade Subramanyam,2015,https://boxd.it/aXTy,
9,Krishna Gaadi Veera Prema Gaadha,2016,https://boxd.it/doCo,
10,Krishnarjuna Yudham,2018,https://boxd.it/i4r6,
11,Nani's Gang Leader,2019,https://boxd.it/mDD0,
12,Ala Modalaindi,2011,https://boxd.it/nHG,
13,Eega,2012,https://boxd.it/4HhQ,
14,Nenu Local,2017,https://boxd.it/fBb0,
15,Ninnu Kori,2017,https://boxd.it/gEcW,
16,Ashta Chamma,2008,https://boxd.it/2PeQ,
17,Shyam Singha Roy,2021,https://boxd.it/u62G,
18,Dasara,2023,https://boxd.it/xq4y,
19,Majnu,2016,https://boxd.it/epDu,
20,Gentleman,2016,https://boxd.it/e23e,
21,Devadas,2018,https://boxd.it/k7Kk,
22,Bheemili Kabaddi Jattu,2010,https://boxd.it/61he,
23,M.C.A,2017,https://boxd.it/htJM,
24,Snehituda,2009,https://boxd.it/3Gqq,
25,Paisa,2013,https://boxd.it/7ESA,
26,Ride,2009,https://boxd.it/asFq,
27,Aaha Kalyanam,2014,https://boxd.it/7nx6,
28,Janda Pai Kapiraju,2015,https://boxd.it/7Rri,
29,V,2020,https://boxd.it/pu7K,
30,Tuck Jagadish,2021,https://boxd.it/twvs,
