Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-11-29,Watchlist ,,https://boxd.it/qySSE,

Position,Name,Year,URL,Description
1,"Paris, Texas",1984,https://boxd.it/29Ts,
2,Your Name.,2016,https://boxd.it/cUqs,
3,A Most Violent Year,2014,https://boxd.it/75Va,
4,Showing Up,2022,https://boxd.it/tJ1q,
5,Obvious Child,2014,https://boxd.it/7i3A,
6,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
7,Stay,2005,https://boxd.it/20BE,
8,The Glass Castle,2017,https://boxd.it/b8za,
9,While We're Young,2014,https://boxd.it/7oOs,
10,Penguin Bloom,2020,https://boxd.it/mRZE,
11,"Love, Rosie",2014,https://boxd.it/62hE,
12,Notting Hill,1999,https://boxd.it/2aeK,
13,You've Got Mail,1998,https://boxd.it/1Yye,
14,Where the Wild Things Are,2009,https://boxd.it/1K0C,
15,Bridge to Terabithia,2007,https://boxd.it/28YG,
16,Garden State,2004,https://boxd.it/2asW,
17,Ghost World,2001,https://boxd.it/28Dy,
18,A Walk to Remember,2002,https://boxd.it/1WLq,
19,Juno,2007,https://boxd.it/210a,
20,Keith,2008,https://boxd.it/1NeM,
21,Submarine,2010,https://boxd.it/H4a,
22,Eighth Grade,2018,https://boxd.it/hDMG,
23,"Love, Simon",2018,https://boxd.it/g02s,
24,Little Fish,2020,https://boxd.it/lAFK,
25,Thoroughbreds,2017,https://boxd.it/dVHQ,
26,Pixie,2020,https://boxd.it/odTg,
27,Katie Says Goodbye,2016,https://boxd.it/exQ2,
28,The Holiday,2006,https://boxd.it/28ye,
29,Stranger Than Fiction,2006,https://boxd.it/28Za,
30,Re-Animator,1985,https://boxd.it/28hM,
31,Innerspace,1987,https://boxd.it/26yQ,
32,In the Cut,2003,https://boxd.it/1V12,
33,When a Man Loves a Woman,1994,https://boxd.it/1WeG,
34,Joe Versus the Volcano,1990,https://boxd.it/26Ce,
35,Knocked Up,2007,https://boxd.it/23yS,
36,Pitch Perfect,2012,https://boxd.it/3OsE,
37,I Saw the Devil,2010,https://boxd.it/FaK,
38,The Man from Nowhere,2010,https://boxd.it/AZy,
39,A Bittersweet Life,2005,https://boxd.it/1U4Y,
