Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-31,When you want something feel good 😊.(In),,https://boxd.it/q0gcW,

Position,Name,Year,URL,Description
1,Pachuvum Athbhuthavilakkum,2023,https://boxd.it/uLqO,
2,Vaaranam Aayiram,2008,https://boxd.it/15yo,
3,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,
4,Pilla Zamindar,2011,https://boxd.it/32sw,
5,Like Stars on Earth,2007,https://boxd.it/20SA,
6,Brochevarevarura,2019,https://boxd.it/mBiE,
7,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,
8,Thiruchitrambalam,2022,https://boxd.it/wptK,
9,Bangalore Days,2014,https://boxd.it/82ZA,
10,Sita Ramam,2022,https://boxd.it/xO2c,
11,Chhichhore,2019,https://boxd.it/lZOW,
12,Anbe Sivam,2003,https://boxd.it/1sU8,
13,Premam,2015,https://boxd.it/bod0,
14,Dada,2023,https://boxd.it/AtFy,
15,O Kadhal Kanmani,2015,https://boxd.it/aM7I,
16,Mudhal Nee Mudivum Nee,2022,https://boxd.it/wzhk,
17,Njan Prakashan,2018,https://boxd.it/kG0c,
18,Pelli Choopulu,2016,https://boxd.it/dM0o,
19,Raja Rani,2013,https://boxd.it/6DKS,
20,Oopiri,2016,https://boxd.it/cPiy,
21,Ninnila Ninnila,2021,https://boxd.it/smfM,
22,Ye Maaya Chesave,2010,https://boxd.it/8Rw,
23,Oohalu Gusagusalade,2014,https://boxd.it/8Dxo,
24,Aadavari Matalaku Ardhalu Verule,2007,https://boxd.it/2P2K,
25,Oy!,2009,https://boxd.it/35lo,
26,Yeto Vellipoyindhi Manasu,2012,https://boxd.it/4IRA,
27,Naa Autograph,2004,https://boxd.it/9Rvo,
28,My Name Is Khan,2010,https://boxd.it/1uD4,
29,Dear Zindagi,2016,https://boxd.it/eAiM,
30,Wake Up Sid,2009,https://boxd.it/1C8e,
31,96,2018,https://boxd.it/fHYM,
32,Love Today,2022,https://boxd.it/D3KI,
33,Hridayam,2022,https://boxd.it/ohO0,
34,Bareilly Ki Barfi,2017,https://boxd.it/gJbY,
35,Good Night,2023,https://boxd.it/FgZA,
36,Nanban,2012,https://boxd.it/2hYK,
37,Middle Class Melodies,2020,https://boxd.it/sMiM,
38,Orange,2010,https://boxd.it/m0c,
39,Yevade Subramanyam,2015,https://boxd.it/aXTy,
40,Ala Modalaindi,2011,https://boxd.it/nHG,
41,Chi La Sow,2018,https://boxd.it/jGLA,
42,Mental Madhilo,2017,https://boxd.it/hJV0,
43,Ashta Chamma,2008,https://boxd.it/2PeQ,
44,Malli Raava,2017,https://boxd.it/hJNU,
45,Jyo Achyutananda,2016,https://boxd.it/eKZQ,
46,Remo,2016,https://boxd.it/e9Pk,
47,Raja Raja Chora,2021,https://boxd.it/udD0,
48,Surya Vs Surya,2015,https://boxd.it/aXTI,
49,Evvarikee Cheppoddu,2019,https://boxd.it/nFjS,
50,Hushaaru,2018,https://boxd.it/kIue,
51,Irugapatru,2023,https://boxd.it/EEGA,
52,Godavari,2006,https://boxd.it/2PDm,
