Date,Name,Year,Letterboxd URI,Rating
2023-02-25,The Machinist,2004,https://boxd.it/248c,4
2023-04-05,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2
2023-04-05,Dada,2023,https://boxd.it/AtFy,4
2023-04-05,Waltair Veerayya,2023,https://boxd.it/Bnkc,2
2023-04-05,Witness,2022,https://boxd.it/AFzi,2
2023-04-05,An Action Hero,2022,https://boxd.it/xk3Y,3.5
2023-04-05,HIT: The 2nd Case,2022,https://boxd.it/uzQq,3.5
2023-04-05,Masooda,2022,https://boxd.it/DEVI,2.5
2023-04-05,"Monica, O My Darling",2022,https://boxd.it/yuuM,3
2023-04-05,Mukundan Unni Associates™,2022,https://boxd.it/xcWQ,3
2023-04-05,Love Today,2022,https://boxd.it/D3KI,3.5
2023-04-05,Jaya Jaya Jaya Jaya Hey,2022,https://boxd.it/z60K,2.5
2023-04-05,Doctor G,2022,https://boxd.it/th9Q,3
2023-04-05,Kantara,2022,https://boxd.it/wqK8,3
2023-04-05,Chup,2022,https://boxd.it/xl3U,3
2023-04-05,The Menu,2022,https://boxd.it/lScm,3
2023-04-05,Glass Onion,2022,https://boxd.it/oCkK,3.5
2023-04-05,Kanam,2022,https://boxd.it/xxZG,3.5
2023-04-05,Brahmāstra Part One: Shiva,2022,https://boxd.it/hUJO,2.5
2023-04-05,The Whale,2022,https://boxd.it/tw4c,4
2023-04-05,Thiruchitrambalam,2022,https://boxd.it/wptK,4
2023-04-05,Karthikeya 2,2022,https://boxd.it/xNX2,3.5
2023-04-05,Thallumaala,2022,https://boxd.it/wDmy,3.5
2023-04-05,Darlings,2022,https://boxd.it/uaH4,3
2023-04-05,The Gray Man,2022,https://boxd.it/rb7q,2.5
2023-04-05,Rocketry: The Nambi Effect,2022,https://boxd.it/mqrq,3.5
2023-04-05,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2
2023-04-05,777 Charlie,2022,https://boxd.it/nw1g,3.5
2023-04-05,Ms. Marvel,2022,https://boxd.it/ANCY,3
2023-04-05,Major,2022,https://boxd.it/mkWM,3
2023-04-05,Vikram,2022,https://boxd.it/rUJa,3.5
2023-04-05,12th Man,2022,https://boxd.it/vZta,2.5
