Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-04-08,Bareilly Ki Barfi,2017,https://boxd.it/45sZ1d,3,,I really liked the character arc of chirag Dubey...At first he is an arrogant and a selfish man then he meets the bitti..In the process of making his love succes his character changes real well through the circumstances and som situations.....,"ayushman khurana, rajkumar rao",2023-04-07
2023-04-08,Ravanasura,2023,https://boxd.it/45G8Ud,2.5,,"<b>After unbearable first 30 minutes the movie pickups it's pace,liked the characterisation but routine climax.</b>",,2023-04-08
2023-04-09,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/45XK2H,4,,<b>Well crafted love story with sci-fi elements.</b>,,2023-04-09
2023-04-10,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/46mxuN,3,,Only one word-<b>Action</b>,,2023-04-10
2023-04-11,The Big Short,2015,https://boxd.it/46Ge2v,3,,"Wait,what are talking about?",,2023-04-11
2023-04-11,The Nice Guys,2016,https://boxd.it/46HeJh,4,,<b>No animals in the house..</b>,,2023-04-11
2023-04-12,Chor Nikal Ke Bhaga,2023,https://boxd.it/46LnWx,2.5,,I kinda liked the film in parts..it could have been better.,,2023-04-11
2023-04-12,The Notebook,2004,https://boxd.it/46LpNn,3,,A roller coaster of emotions,,2023-04-11
2023-04-14,The Intern,2015,https://boxd.it/47hF7L,3.5,,<blockquote>You are never wrong to do the right thing</blockquote>,,2023-04-14
2023-04-14,Little Women,2019,https://boxd.it/47q3LL,3.5,,I literally had tears in my eyes when Beth died...,,2023-04-14
2023-04-15,GoodFellas,1990,https://boxd.it/47t4gP,4,,<b>Pow!Bing!Boom!</b>,,2023-04-17
2023-04-23,Virupaksha,2023,https://boxd.it/49ANJ5,3.5,,"<b><i>MUST WATCH IT IN THEATRE!</i>
</b>
<i>These type of movies are very rear in Telugu.It has many scary moments and the bgm was on point to make fearful.. though the climax of the movie didn't work well for me but still it is a true to the genre movie.</i>",,2023-04-21
2023-04-23,The Man Who Knew Infinity,2015,https://boxd.it/49AXPH,2,,"I think it would have been made better,they wasted it...",,2023-04-16
2023-04-23,The BFG,2016,https://boxd.it/49B0NJ,3,,"I think it's watchable once,it's fairy tale kinda movie .",,2023-04-19
2023-04-23,Passengers,2016,https://boxd.it/49B9dP,3,,"<blockquote><b><i>Half baked...</i></b></blockquote>The movie stats with very intresting plot but dragged with unwanted romance scenes in the first half of the movie,I mean they would have done wonders if they have utilize the idea properly,and again it isn't that bad though it's like a half baked cookie..",,2023-04-23
2023-04-23,The Banshees of Inisherin,2022,https://boxd.it/49BeTV,4,,"<blockquote>Awesome</blockquote>Seriously who would cut their fingers for their irritating friends😳........

It's a well made movie with a lot of emotions that we feel for the protagonist,we feel for his loneliness,we feel for his anger..The Director done the best job in making it feel to the audience what the protagonist feels.... That's how a movie should be made",,2023-04-25
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4diXxD,3.5,,"Best Marvel movie post Endgame...
Watta emotional ride it was.",,2023-05-06
2023-05-11,Magnolia,1999,https://boxd.it/4eBfn7,4,,Fastest 3 hrs ever..,,2023-05-08
2023-05-11,Dasara,2023,https://boxd.it/4eCgP9,2.5,,It could have been made better in some parts,,2023-03-30
2023-05-11,Das Ka Dhamki,2023,https://boxd.it/4eChA5,2,,Below average first half and average 2nd half gave me unbearable experience,,2023-05-11
2023-05-11,Vaathi,2023,https://boxd.it/4eChZp,2.5,,Apart from cringe in first half I did like the movie,,2023-05-11
2023-05-11,Dada,2023,https://boxd.it/4eCiJH,4,,"<b>Rollercoaster of emotions
</b>Dada is a well made movie full of emotions.",,2023-03-17
2023-05-11,Romancham,2023,https://boxd.it/4eCj59,3,,A must watch movie with friends,,2023-04-10
2023-05-11,Writer Padmabhushan,2023,https://boxd.it/4eCjTX,3,,An above average movie with family emotions...,,2023-03-19
2023-05-11,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4eCk0f,2,,Worst Marvel movie ever,,2023-02-19
2023-05-11,Waltair Veerayya,2023,https://boxd.it/4eCkvR,2,,Cringe first half and above average second half.. walthair veerayya could have been a better movie if the songs placement is right and removing those cringe comedy scenes in first half ..,,2023-01-12
2023-05-11,Veera Simha Reddy,2023,https://boxd.it/4eCkVl,2,,I think this movie is a satire on physics 😑,,2023-01-11
2023-05-11,Dhamaka,2022,https://boxd.it/4eClif,1.5,,Cringe comedy and weak plot makee dhamaka unbearable to watch for me,,2023-01-30
2023-05-11,Avatar: The Way of Water,2022,https://boxd.it/4eCm2n,3,,"Great movie with great plot and characters and a great work is done by VFX team,Visuals in the movie are fantastic waiting for 3rd part of this franchise..",,2022-12-27
2023-05-11,An Action Hero,2022,https://boxd.it/4eCm9N,3.5,,<b>Perfect definition for a Action Movie</b>,,2023-01-28
2023-05-11,HIT: The 2nd Case,2022,https://boxd.it/4eCn6P,3.5,,"Best mystery thriller I have watched in recent times, gripping story and screenplay is very racy and the good twist at the end too makes the Hit2  a great thrilling experience",,2022-12-02
2023-05-11,"Monica, O My Darling",2022,https://boxd.it/4eCo1r,3,,Started the movie without expectations but this movie has lots of twists and turns which are very entertaining and the soundtrack is also great 👍,,2023-03-14
2023-05-14,Shaun of the Dead,2004,https://boxd.it/4f7pd1,4,,That's the best zombie comedy I have ever seen😂😂😂,,2023-05-13
2023-05-16,Air,2023,https://boxd.it/4fOedv,4,,"<b>When someone says its not about the money, I know its about the money. -Sonny</b>",,2023-05-16
2023-05-24,Mulholland Drive,2001,https://boxd.it/4hKpSz,4.5,,"<b>Acting is reacting.

</b>",,2023-05-24
2023-05-28,Kaun?,1999,https://boxd.it/4itEJ3,4,,An absolute suspense thriller😮,,2023-05-27
2023-06-05,Black Swan,2010,https://boxd.it/4kFaxj,4,,I am going crazy after watching this movie🤯🤯,,2023-06-05
2023-06-09,Midnight in Paris,2011,https://boxd.it/4lJtWJ,3.5,,I want to move to Paris 🌃,,2023-06-08
2023-06-10,2018,2023,https://boxd.it/4lYCv3,4,,Everyone is a hero.,,2023-06-09
2023-06-12,About Time,2013,https://boxd.it/4mvRMJ,5,,Best time travel movie I have ever seen,,2023-06-11
2023-06-15,Pachuvum Athbhuthavilakkum,2023,https://boxd.it/4njPY9,4.5,,"What a movie.The characters arcs are the best part in the film.

Special mention: Throughly enjoyed WhatsApp uncle scenes😂😂",,2023-06-14
2023-06-15,Save the Tigers,2023,https://boxd.it/4njQET,3,,"Not too good comedy and not too bad, easy timepass for a couple of hours..",,2023-06-14
2023-06-16,John Wick: Chapter 4,2023,https://boxd.it/4nHZKf,3,,Just action🤯🤯,,2023-06-16
2023-06-26,October,2018,https://boxd.it/4qIQNj,4,,<b>Watta movie😭😭</b>,,2023-06-26
2023-06-29,Whiplash,2014,https://boxd.it/4riCP3,5,,<blockquote><i>I ask why you stop playing and your version of an answer was to turn into a wind-up monkey.</i></blockquote>,,2023-06-28
2023-06-30,Samajavaragamana,2023,https://boxd.it/4rOmxr,3.5,,Hilarious fun ride🤣🤣🤣,,2023-06-30
2023-07-01,The Grand Budapest Hotel,2014,https://boxd.it/4s4gYN,4,,<blockquote><i>Did He Just Throw the Cat Out Of The Window?</i></blockquote>,,2023-07-01
2023-07-02,Lady Bird,2017,https://boxd.it/4smbTJ,3.5,,"<b>Some people aren’t built happy, you know.</b>",,2023-07-02
2023-07-03,Dune,2021,https://boxd.it/4sKTHb,4,,"<blockquote>""Dreams Make Good Stories, But Everything Important Happens When We’re Awake.""– Duncan Idaho</blockquote>",,2023-07-03
2023-07-04,Cha Cha Real Smooth,2022,https://boxd.it/4sRtz5,5,,"<blockquote>The things that I'm scared of doing are probably the things that will help me the most, but I just can't do them.</blockquote>",,2023-07-04
2023-07-04,Good Night,2023,https://boxd.it/4t3aGF,3,,Feel good movie with dark comedy..,,2023-07-04
2023-07-06,Arrival,2016,https://boxd.it/4trO5n,,,God why this movies bgm is so creepy😱,,2023-07-05
2023-07-08,Ready Player One,2018,https://boxd.it/4u11El,4,,The whole shining sequence is lit🔥🔥,,2023-07-08
2023-07-11,Gifted,2017,https://boxd.it/4v8Aev,4,,<blockquote><b><i>This is gonna be fun. You're gonna meet kids today you can borrow money from the rest of your life.</i></b></blockquote>,,2023-07-11
2023-07-11,Pokiri,2006,https://boxd.it/4v8CId,4,Yes,Great movie with great twist in the end...Best commercial movie ever made in tollywood.Missing those vintage roles from Mahesh Babu.,,2023-07-07
2023-07-11,Son of Satyamurthy,2015,https://boxd.it/4v8SID,3,Yes,"Characterization of hero is simply superb.And has a ample amount of comedy,drama,action which makes it a wholesome family entertainer..",,2023-07-09
2023-07-11,Adipurush,2023,https://boxd.it/4v9bhB,2,,Poor VFX made me irritate through out the second half...,,2023-07-06
