Date,Name,Year,Letterboxd URI
2022-08-09,Insomnia,2002,https://boxd.it/2aB0
2022-08-09,The Incredible Hulk,2008,https://boxd.it/28dU
2022-08-09,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii
2022-08-09,Cinema Bandi,2021,https://boxd.it/v4mG
2022-08-09,Guru,2017,https://boxd.it/fXlG
2022-08-09,Bhadra,2005,https://boxd.it/2PiS
2022-08-09,C U Soon,2020,https://boxd.it/rA3S
2022-08-09,Kammatti Paadam,2016,https://boxd.it/dY4s
2022-08-09,Etharkkum Thunindhavan,2022,https://boxd.it/wj8m
2022-09-03,Orphan: First Kill,2022,https://boxd.it/sxZc
2022-10-05,Annihilation,2018,https://boxd.it/9yzm
2023-03-09,Viraata Parvam,2022,https://boxd.it/muYy
2023-03-09,Natchathiram Nagargiradhu,2022,https://boxd.it/wkx8
2023-03-09,Gargi,2022,https://boxd.it/ALXU
2023-03-09,Titane,2021,https://boxd.it/nlQC
2023-03-09,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2023-03-09,Mandela,2021,https://boxd.it/ulX8
2023-03-09,Churuli,2021,https://boxd.it/r2Ae
2023-03-09,Kadaisi Vivasayi,2021,https://boxd.it/mGrm
2023-03-09,CODA,2021,https://boxd.it/tbf4
2023-03-09,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2023-03-09,Maleficent: Mistress of Evil,2019,https://boxd.it/eSig
2023-03-09,Jallikattu,2019,https://boxd.it/kHjO
2023-03-09,Moothon,2019,https://boxd.it/gmlm
2023-03-09,Boy,2019,https://boxd.it/nezE
2023-03-09,Mallesham,2019,https://boxd.it/myiQ
2023-03-09,Falaknuma Das,2019,https://boxd.it/lJpw
2023-03-09,Mithai,2019,https://boxd.it/kfoc
2023-03-09,Uri: The Surgical Strike,2019,https://boxd.it/kgWk
2023-03-09,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2023-03-10,Psycho,2020,https://boxd.it/nREe
2023-03-10,Lakshyam,2007,https://boxd.it/2PL6
2023-03-10,Ragada,2010,https://boxd.it/v8u
2023-03-10,Current Theega,2014,https://boxd.it/aU8O
2023-03-10,Teen Maar,2011,https://boxd.it/8Zq
2023-03-10,Godse,2022,https://boxd.it/uhqa
2023-03-10,Ammu,2022,https://boxd.it/AAyE
2023-03-10,Nandanavanam.. 120Kms,2006,https://boxd.it/rjic
2023-03-13,Dongala Mutha,2011,https://boxd.it/4pO8
2023-03-29,Up,2009,https://boxd.it/1OEc
2023-04-05,Pathaan,2023,https://boxd.it/wGeC
2023-04-05,Ponniyin Selvan: Part I,2022,https://boxd.it/oz24
2023-04-05,Ticket to Paradise,2022,https://boxd.it/u8Cc
